countries,year,Value
Philippines,2021,113100.9
Poland,2021,36958.61
Portugal,2021,10411.06
Puerto Rico,2021,3253.21
Qatar,2021,2814.982
Reunion,2021,868.079
Romania,2021,19102.16
Russia,2021,145836.2
Rwanda,2021,13355.26
Saint Kitts and Nevis,2021,46.763
Saint Lucia,2021,178.522
Saint Vincent/Grenadines,2021,102.841
Samoa,2021,213.779
Sao Tome and Principe,2021,221.961
Saudi Arabia,2021,30784.38
Senegal,2021,17220.87
Serbia,2021,6834.326
Seychelles,2021,122.987
Sierra Leone,2021,8094.602
Singapore,2021,5502.479
Slovakia,2021,5444.113
Slovenia,2021,2107.854
Solomon Islands,2021,762.591
Somalia,2021,17271.43
South Africa,2021,61502.6
South Korea,2021,51848.4
South Sudan,2021,10865.78
Spain,2021,47454.57
Sri Lanka,2021,22700.37
Sudan,2021,48066.93
Suriname,2021,617.896
Sweden,2021,10424.94
Switzerland,2021,8738.791
Syria,2021,21628.84
Taiwan,2021,23445.04
Tajikistan,2021,9966.908
Tanzania,2021,62830.41
Thailand,2021,71727.34
The Bahamas,2021,396.373
Timor-Leste,2021,1350.139
Togo,2021,8878.379
Tonga,2021,105.49
Trinidad and Tobago,2021,1487.717
Tunisia,2021,12048.62
Turkiye,2021,86686.26
Turkmenistan,2021,7092.043
U.S. Virgin Islands,2021,87.223
Uganda,2021,45910.93
Ukraine,2021,41588.4
United Arab Emirates,2021,9789.048
United Kingdom,2021,67136.31
United States,2021,332047.6
Uruguay,2021,3396.695
Uzbekistan,2021,34243.7
Vanuatu,2021,305.868
Venezuela,2021,28237.83
Vietnam,2021,98935.09
Yemen,2021,37140.23
Zambia,2021,19603.61
Zimbabwe,2021,15797.21
Afghanistan,2022,40578.84
Albania,2022,2827.608
Algeria,2022,45477.38
Angola,2022,35635.03
Antigua and Barbuda,2022,92.84
Argentina,2022,45407.91
Armenia,2022,2880.874
Aruba,2022,107.782
Australia,2022,26093
Austria,2022,9057.581
Azerbaijan,2022,10295.3
Bahrain,2022,1557.182
Bangladesh,2022,169384.9
Barbados,2022,282.318
Belarus,2022,9173.237
Belgium,2022,11695.86
Belize,2022,402.733
Benin,2022,13759.5
Bermuda,2022,64.749
Bhutan,2022,780.914
Bolivia,2022,12077.15
Bosnia and Herzegovina,2022,3204.802
Botswana,2022,2439.892
Brazil,2022,210306.4
British Virgin Islands,2022,38.319
Brunei,2022,455.37
Bulgaria,2022,6594.42
Burkina Faso,2022,22509.04
Burma,2022,53756.79
Burundi,2022,13321.1
Cabo Verde,2022,519.741
Cambodia,2022,17201.72
Cameroon,2022,27632.77
Canada,2022,38865.97
Cayman Islands,2022,71.591
Central African Republic,2022,5098.039
Chad,2022,18455.32
Chile,2022,19772.24
China,2022,1425180
Colombia,2022,51737.95
Comoros,2022,834.188
Congo-Brazzaville,2022,6035.104
Congo-Kinshasa,2022,102397
Costa Rica,2022,5081.765
Cote d'Ivoire,2022,30395
Croatia,2022,3855.173
Cuba,2022,11059.82
Cyprus,2022,914.7025
Czechia,2022,10710.97
Denmark,2022,5910.441
Djibouti,2022,1137.096
Dominica,2022,66.826
Dominican Republic,2022,11230.73
Ecuador,2022,17823.9
Egypt,2022,112618.3
El Salvador,2022,6280.319
Equatorial Guinea,2022,1803.545
Eritrea,2022,3409.447
Estonia,2022,1353.101
Eswatini,2022,1218.917
Ethiopia,2022,125384.3
Fiji,2022,919.422
Finland,2022,5558.072
France,2022,68060.08
Gabon,2022,2430.747
"Gambia, The",2022,2636.47
Georgia,2022,3794.784
Germany,2022,83938.2
Ghana,2022,33149.15
Greece,2022,10431.16
Greenland,2022,55.99
Grenada,2022,116.913
Guadeloupe,2022,384.697
Guatemala,2022,17847.88
Guinea,2022,14055.14
Guinea-Bissau,2022,2105.529
Guyana,2022,821.637
Haiti,2022,11503.61
Honduras,2022,10463.87
Hong Kong,2022,7465.915
Hungary,2022,9633.219
Iceland,2022,380.356
India,2022,1425423
Indonesia,2022,278830.6
Iran,2022,89524.24
Iraq,2022,44070.55
Ireland,2022,5227.476
Israel,2022,9103.151
Italy,2022,59009.55
Jamaica,2022,2839.144
Japan,2022,124997.6
Jordan,2022,11256.26
Kazakhstan,2022,20034.61
Kenya,2022,54252.46
Kiribati,2022,130.469
Kosovo,2022,1768.086
Kuwait,2022,4589.511
Kyrgyzstan,2022,6955.788
Laos,2022,7559.007
Latvia,2022,1893.685
Lebanon,2022,5744.489
Lesotho,2022,2286.11
Liberia,2022,5373.294
Libya,2022,7223.805
Lithuania,2022,2838.049
Luxembourg,2022,655.0295
Macau,2022,704.356
Madagascar,2022,30437.26
Malawi,2022,20568.73
Malaysia,2022,34695.49
Maldives,2022,524.106
Mali,2022,23072.64
Malta,2022,534.146
Martinique,2022,349.459
Mauritania,2022,4875.637
Mauritius,2022,1276.13
Mexico,2022,128613.1
Moldova,2022,3460.093
Mongolia,2022,3386.015
Montenegro,2022,614.648
Morocco,2022,37329.06
Mozambique,2022,32656.25
Namibia,2022,2889.662
Nepal,2022,29715.44
